event,radius_arcsec,k,k_used,n_matched,frac_gal_matched,weight_matched,weight_topk,weight_total,frac_weight_matched_topk,frac_weight_matched_total,control
GW200219_094415,60.0,1000,1000,527,0.527,1.5502888209034769,2.5809111163214116,28.962053894505136,0.6006750139900645,0.05352827622482974,true
GW191230_180458,60.0,1000,1000,184,0.184,0.1056622154216801,0.42152861407953995,11.822058517050435,0.25066439594476086,0.008937717172460967,true
GW200308_173609,60.0,5000,5000,615,0.123,0.01894651464127665,0.1632609487257954,0.29777197748631556,0.11605049945592458,0.06362759451448838,true
GW200220_061928,60.0,5000,5000,584,0.1168,0.07942955291648866,0.644469895457261,3.1051843665252945,0.12324788710282925,0.0255796576115609,true
GW200208_130117,60.0,5000,5000,25,0.005,0.47735743653934265,106.84455029185061,107.00923063356746,0.0044677752420261,0.004460899622519121,true
GW200219_094415,60.0,5000,5000,1392,0.2784,2.6734627181107533,7.655148935334509,28.962053894505136,0.3492371919467992,0.09230915486342561,true
GW191230_180458,60.0,5000,5000,337,0.0674,0.14418903947878542,1.4227231336255173,11.822058517050435,0.1013472235538543,0.012196610198708449,true
GW200308_173609,60.0,20000,20000,2585,0.12925,0.041388708465265565,0.29777197748631556,0.29777197748631556,0.13899463883288893,0.13899463883288893,true
GW200220_061928,60.0,20000,20000,3076,0.1538,0.23575527400524443,1.6113936945266558,3.1051843665252945,0.14630519829264763,0.075923116368467,true
GW200208_130117,60.0,20000,11255,256,0.02274544646823634,0.4785500265280104,107.00923063356746,107.00923063356746,0.004472044361917833,0.004472044361917833,true
GW200219_094415,60.0,20000,20000,3737,0.18685,4.097118793725418,16.73584011084747,28.962053894505136,0.24481106216292287,0.14146506351549706,true
GW191230_180458,60.0,20000,20000,890,0.0445,0.240952456488611,4.047754875819917,11.822058517050435,0.05952743283146646,0.020381599037180866,true
GW200308_173609,3.0,200,200,0,0.0,0.0,0.017171999996227677,0.29777197748631556,0.0,0.0,shift_ra
GW200220_061928,3.0,200,200,0,0.0,0.0,0.08551970071403917,3.1051843665252945,0.0,0.0,shift_ra
GW200208_130117,3.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,3.0,200,200,0,0.0,0.0,0.867284692199999,28.962053894505136,0.0,0.0,shift_ra
GW191230_180458,3.0,200,200,0,0.0,0.0,0.14215075165747582,11.822058517050435,0.0,0.0,shift_ra
GW200308_173609,3.0,1000,1000,0,0.0,0.0,0.056446490024904435,0.29777197748631556,0.0,0.0,shift_ra
GW200220_061928,3.0,1000,1000,0,0.0,0.0,0.21543247199848725,3.1051843665252945,0.0,0.0,shift_ra
GW200208_130117,3.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,3.0,1000,1000,1,0.001,0.002059948609101687,2.5809111163214116,28.962053894505136,0.0007981478308473266,7.11257777713242e-05,shift_ra
GW191230_180458,3.0,1000,1000,0,0.0,0.0,0.42152861407953995,11.822058517050435,0.0,0.0,shift_ra
GW200308_173609,3.0,5000,5000,0,0.0,0.0,0.1632609487257954,0.29777197748631556,0.0,0.0,shift_ra
GW200220_061928,3.0,5000,5000,1,0.0002,9.232251858341971e-05,0.644469895457261,3.1051843665252945,0.00014325342306007252,2.973173495869707e-05,shift_ra
GW200208_130117,3.0,5000,5000,0,0.0,0.0,106.84455029185061,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,3.0,5000,5000,1,0.0002,0.002059948609101687,7.655148935334509,28.962053894505136,0.0002690932111840973,7.11257777713242e-05,shift_ra
GW191230_180458,3.0,5000,5000,0,0.0,0.0,1.4227231336255173,11.822058517050435,0.0,0.0,shift_ra
GW200308_173609,3.0,20000,20000,1,5e-05,1.68625512266742e-05,0.29777197748631556,0.29777197748631556,5.662907359188672e-05,5.662907359188672e-05,shift_ra
GW200220_061928,3.0,20000,20000,8,0.0004,0.0005748361057910112,1.6113936945266558,3.1051843665252945,0.0003567322546585168,0.0001851214092109621,shift_ra
GW200208_130117,3.0,20000,11255,0,0.0,0.0,107.00923063356746,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,3.0,20000,20000,4,0.0002,0.0034914669890922555,16.73584011084747,28.962053894505136,0.00020862215257596976,0.00012055315558109222,shift_ra
GW191230_180458,3.0,20000,20000,1,5e-05,0.00020700802470512917,4.047754875819917,11.822058517050435,5.114144286298893e-05,1.751031974732409e-05,shift_ra
GW200308_173609,10.0,200,200,0,0.0,0.0,0.017171999996227677,0.29777197748631556,0.0,0.0,shift_ra
GW200220_061928,10.0,200,200,2,0.01,0.000461983075931815,0.08551970071403917,3.1051843665252945,0.005402066097922797,0.00014877798591030994,shift_ra
GW200208_130117,10.0,200,200,0,0.0,0.0,22.894906536989634,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,10.0,200,200,0,0.0,0.0,0.867284692199999,28.962053894505136,0.0,0.0,shift_ra
GW191230_180458,10.0,200,200,0,0.0,0.0,0.14215075165747582,11.822058517050435,0.0,0.0,shift_ra
GW200308_173609,10.0,1000,1000,2,0.002,9.210550016661848e-05,0.056446490024904435,0.29777197748631556,0.0016317312223661938,0.00030931554051573336,shift_ra
GW200220_061928,10.0,1000,1000,2,0.002,0.000461983075931815,0.21543247199848725,3.1051843665252945,0.0021444449466980027,0.00014877798591030994,shift_ra
GW200208_130117,10.0,1000,1000,0,0.0,0.0,65.11777519579688,107.00923063356746,0.0,0.0,shift_ra
GW200219_094415,10.0,1000,1000,1,0.001,0.002059948609101687,2.5809111163214116,28.962053894505136,0.0007981478308473266,7.11257777713242e-05,shift_ra
GW191230_180458,10.0,1000,1000,1,0.001,0.0003147187671860039,0.42152861407953995,11.822058517050435,0.0007466130570358347,2.6621316984017537e-05,shift_ra
GW200308_173609,10.0,5000,5000,14,0.0028,0.0003863711096073507,0.1632609487257954,0.29777197748631556,0.002366586208293322,0.0012975401945776001,shift_ra
GW200220_061928,10.0,5000,5000,14,0.0028,0.0016780006341832014,0.644469895457261,3.1051843665252945,0.0026036912600745066,0.0005403867970844148,shift_ra
GW200208_130117,10.0,5000,5000,2,0.0004,0.025219122257671242,106.84455029185061,107.00923063356746,0.0002360356442025737,0.00023567240048691948,shift_ra
GW200219_094415,10.0,5000,5000,8,0.0016,0.01181976702651188,7.655148935334509,28.962053894505136,0.0015440283561243852,0.00040811218256707964,shift_ra
GW191230_180458,10.0,5000,5000,7,0.0014,0.0017624758621247356,1.4227231336255173,11.822058517050435,0.0012388045294754071,0.00014908366927661492,shift_ra
GW200308_173609,10.0,20000,20000,62,0.0031,0.0009694192850807715,0.29777197748631556,0.29777197748631556,0.0032555759385562806,0.0032555759385562806,shift_ra
